Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;436.401031494141;40.2575734138489;515.7745;63.76541;8;171.5;False
2;510.972686767578;31.8328924655914;588.972;77.5071;8;171.5;False
3;398.211242675781;19.8155368804932;478.0924;58.68869;8;171.5;False
4;509.785003662109;72.3761611938477;588.097;74.37964;8;171.5;False
5;436.679138183594;21.5371068954468;515.9085;65.20627;8;171.5;False
6;398.530578613281;23.7964438438416;478.5465;57.341;8;171.5;False
7;509.304412841797;-1.50360927581787;587.4548;75.99591;8;171.5;False
8;439.296325683594;33.0109375;518.5342;65.12152;8;171.5;False
9;510.661773681641;84.9281085968018;588.6716;77.40149;8;171.5;False
10;1574.05651855469;113.402075958252;656.0;78.06476;7;179.5;True
11;1573.99401855469;115.617210769653;656.0;77.4397;7;179.5;True
12;1573.98425292969;117.503291743994;656.0;77.34198;7;179.5;True
13;1574.03771972656;53.0852565765381;656.0;77.87677;7;179.5;True
14;1573.98608398438;121.26475353241;656.0;77.36084;7;179.5;True
15;1579.16857910156;136.932215976715;656.106;686.0;8;175.0;True
16;1579.24548339844;199.593527603149;656.107;4546.0;8;175.0;True
17;1577.54577636719;162.453036499023;656.0;90.45825;8;175.0;True
18;1577.76965332031;255.907077026367;656.0;92.69666;8;175.0;True
19;1577.12121582031;147.514772987366;656.0;86.21216;8;175.0;True
20;1573.98486328125;115.116795539856;656.0;77.34888;7;179.5;True
21;1577.70397949219;136.912965238094;656.0;92.04004;8;175.0;True
22;1573.96057128906;165.546212005615;656.0;77.10535;7;179.5;True
23;1573.97229003906;231.098936843872;656.0;77.22229;7;179.5;True
24;1574.00354003906;143.816382265091;656.0;77.53528;7;179.5;True
25;1573.99914550781;171.886392307281;656.0;77.49097;7;179.5;True
26;1574.01257324219;156.030727887154;656.0;77.62598;7;179.5;True
27;1573.97692871094;114.920733451843;656.0;77.26953;7;179.5;True
28;1573.98303222656;179.372032570839;656.0;77.32983;7;179.5;True
29;1574.05065917969;172.25437412262;656.0;78.00635;7;179.5;True
30;1574.00695800781;156.762586927414;656.0;77.56934;7;179.5;True
