Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;358,397338867188;146,722690200806;231,8248;27,88199;7;144,5;False
2;367,338714599609;210,728416061401;245,2376;33,04992;7;141;False
3;372,838653564453;205,702715682983;242,9238;30,43027;8;121;False
4;373,184967041016;200,652902984619;243,2755;30,47842;8;121;False
5;373,239868164063;186,294315338135;243,3192;30,47534;8;121;False
6;373,101928710938;216,228821468353;243,1572;30,43674;8;121;False
7;372,993041992188;207,875953674316;243,0476;30,42245;8;121;False
8;373,099090576172;187,897092056274;243,1583;30,43988;8;121;False
9;373,187622070313;233,04347038269;243,2747;30,47565;8;121;False
10;373,259735107422;189,801245880127;243,3112;30,45313;8;121;False
11;373,852935791016;216,835863494873;246,041;32,53485;8;147,5;False
12;373,309326171875;169,483967018127;244,6696;31,66034;8;147,5;False
13;373,300476074219;221,35863609314;244,3738;31,38904;8;147,5;False
14;373,302612304688;192,254425811768;244,6003;31,60016;8;147,5;False
15;374,115539550781;159,11742811203;243,5197;29,99323;8;147,5;False
16;373,427398681641;170,489253997803;245,087;31,96198;8;147,5;False
17;373,442169189453;179,330295944214;245,0816;31,94446;8;147,5;False
18;373,280609130859;214,966177940369;244,3775;31,40845;8;147,5;False
19;374,042175292969;238,307630729675;243,5397;30,06482;8;147,5;False
20;373,892272949219;191,731959915161;246,0745;32,53424;8;147,5;False
21;373,293243408203;180,357631874084;244,1506;31,18732;8;147,5;False
22;378,048858642578;202,930323505402;256,2074;34,77161;7;122;False
23;378,688140869141;170,65698184967;256,2827;34,25745;7;122;False
24;378,618377685547;191,621927261353;256,2796;34,31812;7;122;False
25;378,949249267578;184,954742717743;256,2453;33,9812;7;122;False
26;378,662109375;180,140468025208;256,2279;34,22375;7;122;False
27;376,908111572266;222,717533493042;256,3063;35,99622;7;122;False
28;380,599548339844;193,414102363586;257,513;33,80627;7;122;False
29;380,813110351563;216,563290596008;257,4625;33,56689;7;122;False
30;380,906921386719;194,287442779541;257,571;33,59399;7;122;False
31;384,632354736328;203,555956840515;259,3295;36,72925;8;118,5;False
32;1487,20483398438;254,014140892029;360;48,38086;8;118,5;True
33;1487,33068847656;260,79421787262;360;48,21765;8;118,5;True
34;1487,27722167969;304,31520690918;360;48,28687;8;118,5;True
35;1487,29455566406;255,894890975952;360;48,2644;8;118,5;True
36;1487,25341796875;292,308278083801;360;48,31775;8;118,5;True
37;1487,25561523438;308,528865623474;360;48,31482;8;118,5;True
38;1487,60217285156;276,498184776306;360;47,86951;8;118,5;True
39;1487,2490234375;271,670872116089;360;48,32349;8;118,5;True
40;1487,41564941406;220,567246341705;360;48,10815;8;118,5;True
41;1487,26953125;263,574521255493;360;48,29688;8;118,5;True
42;1384,67529296875;277,402669525147;259,2925;36,64111;8;118,5;True
43;1487,32067871094;302,102947044373;360;48,23071;8;118,5;True
44;1487,33020019531;257,535404777527;360;48,21826;8;118,5;True
45;1487,22692871094;225,951707267761;360;48,35205;8;118,5;True
46;1487,2236328125;240,913979530334;360;48,35645;8;118,5;True
47;1487,27197265625;283,521196746826;360;48,2937;8;118,5;True
48;1487,28796386719;203,755369758606;360;48,27295;8;118,5;True
49;1487,18188476563;281,832425880432;360;48,41064;8;118,5;True
50;1487,267578125;289,708817100525;360;48,29932;8;118,5;True
