Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;320.746643066406;107.857814979553;226.0485;26.62308;8;186.0;False
2;326.414947509766;182.746821975708;216.0112;47.80349;7;219.0;False
3;326.472930908203;166.305724716187;216.0308;45.85902;7;219.0;False
4;326.474212646484;200.048442077637;216.0322;45.86499;7;219.0;False
5;334.765228271484;213.299831008911;236.4523;30.25723;7;193.5;False
6;351.777221679688;191.048685836792;240.5189;31.89279;5;219.5;False
7;351.326568603516;181.127450942993;240.0698;31.86621;5;219.5;False
8;351.699340820313;160.614155960083;240.4385;31.82907;5;219.5;False
9;351.715423583984;178.427030563354;240.4506;31.74722;5;219.5;False
10;351.550354003906;171.036044692993;240.2945;31.91519;5;219.5;False
11;364.683349609375;218.266561126709;236.291;28.77551;8;253.5;False
12;373.974792480469;254.332484054565;246.1895;32.06982;8;252.5;False
13;373.194671630859;197.712238693237;245.3493;30.75775;8;252.5;False
14;375.929473876953;211.417385864258;248.1932;33.39838;8;252.5;False
15;373.115173339844;189.904189682007;245.2714;30.77814;8;252.5;False
16;373.679412841797;166.057428741455;245.0;88.31;73853;8.0;False
17;373.684478759766;196.083491897583;245.8842;31.72198;8;252.5;False
18;373.838470458984;166.466774749756;245.0207;31.25769;8;254.5;False
19;373.488189697266;196.745174026489;244.6481;30.77136;8;254.5;False
20;375.040832519531;205.166592025757;247.2893;32.93896;8;252.5;False
21;374.177307128906;168.134581756592;246.3986;32.23584;8;252.5;False
22;373.828918457031;187.512414169312;245.0121;31.2749;8;254.5;False
23;373.397338867188;247.557285308838;244.5407;30.44128;8;254.5;False
24;373.816223144531;224.71170463562;244.9978;31.24023;8;254.5;False
25;374.469543457031;178.758443832397;246.7017;32.50745;8;252.5;False
26;374.956573486328;204.524761962891;246.1469;31.56494;8;254.5;False
27;374.954620361328;189.801687240601;244.6095;30.67078;8;257.5;False
28;375.925201416016;181.773777389526;247.1538;32.49133;8;254.5;False
29;376.119934082031;166.088140106201;245.8012;31.33752;8;257.5;False
30;375.802215576172;180.017305755615;247.0278;32.41077;8;254.5;False
