Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,5437.14306640625,1039.81873130798,512.8862,58.27726,7,206,False
2,3218.32641601563,766.876611328125,301.6088,37.20018,8,124.5,False
3,16871.578125,2041.24223632813,656,95.08111,6,182,True
4,4291.73193359375,1477.27381973267,405.7607,46.40486,6,144,False
5,16874.79296875,2020.10721054077,656,96.19498,7,184.5,True
6,4356.87744140625,1263.52389373779,407.7048,46.31583,8,189.5,False
7,3995.8779296875,936.756095123291,372.3701,54.54016,8,183.5,False
8,5761.63818359375,1126.84356384277,550.4777,61.88596,8,150.5,False
9,3262.5654296875,1036.97476882935,300.4305,35.79681,7,180.5,False
10,5037.10986328125,933.022717666626,475.3961,56.80402,7,184.5,False
11,5010.49560546875,1981.62871551514,473.6045,56.65063,7,176,False
12,16867.06640625,1868.62604293823,656,91.03827,6,180,True
13,3630.283203125,750.7150390625,334.3301,38.05493,6,205,False
14,6200.71533203125,1444.8924041748,591.1661,73.1424,7,175.5,False
15,5036.697265625,1188.31649932861,473.3926,53.66473,7,205,False
16,3991.48315429688,1253.38426437378,373.3758,58.08502,6,167.5,False
17,4337.3466796875,1538.52623748779,405.3763,57.06458,6,191,False
18,5024.0302734375,1054.59077758789,472.7765,56.21265,5,198,False
19,3617.94165039063,1219.88923339844,335.0557,39.94287,7,185.5,False
20,3947.99340820313,1519.70832061768,371.529,43.42395,7,146.5,False
21,6462.73974609375,1548.00427703857,623.0439,86.13403,6,110,False
22,16850.736328125,2878.59403190613,656,72.48865,7,173,True
23,5350.169921875,1078.99082336426,509.5354,78.26294,7,144,False
24,16826.89453125,1785.9932384491,656,68.53577,6,150.5,True
25,5361.720703125,1261.38578872681,510.2068,62.01978,7,156.5,False
26,5038.9931640625,902.241955566406,473.9218,53.4043,8,202,False
27,3290.900390625,949.351230621338,306.0558,34.54858,6,151.5,False
28,5019.31396484375,1830.20952072144,478.7708,52.56812,6,133.5,False
29,4298.17724609375,750.055731964111,405.9995,46.87598,8,148,False
30,6168.39111328125,2027.95962295532,587.3541,87.96375,7,173.5,False
