Generation,BestFitness,AverageFitnessPopulation,BestMaxDistance,BestMaxDistanceTime,BestNumberOfWheels,BestCarMass,BestIsRoadComplete
1,62503.29296875,4869.68681640625,223.3829,77.71601,8,114.5,False
2,63677.3984375,21426.7551269531,225.2889,52.40764,8,88.5,False
3,63646.10546875,14843.0053710938,225.3171,52.0779,8,88.5,False
4,63669.765625,9023.52143554687,225.3816,52.11,8,88.5,False
5,63647.328125,11992.0445800781,225.3207,52.07892,8,88.5,False
6,63661.96484375,16112.7220214844,225.3267,52.18466,8,88.5,False
7,65052.1640625,39047.0010253906,236.1684,28.52771,7,86.5,False
8,66052.1484375,15922.4620117188,239.747,29.18784,8,87.5,False
9,66045.65625,7407.78020019531,239.7317,29.15451,8,87.5,False
10,67198.3828125,23014.6878967285,241.3683,29.94537,8,83.5,False
11,67237.7734375,1975.66225585937,241.4984,29.92426,8,83.5,False
12,67236.375,10244.0165039063,241.4932,29.9281,8,83.5,False
13,67237.8984375,7918.86318359375,241.4988,29.92444,8,83.5,False
14,67237.2734375,5597.785546875,241.4962,29.92786,8,83.5,False
15,67236.5078125,9385.44213867188,241.4924,29.93536,8,83.5,False
16,67236.5234375,-257.234716796875,241.4935,29.92957,8,83.5,False
17,67237.6875,6787.99921875,241.4995,29.91638,8,83.5,False
18,67749.9453125,1176.23911132813,238.5438,28.65326,8,73.5,False
19,67723.15625,19738.9172363281,238.4656,28.604,8,73.5,False
20,67757.296875,13213.7985351562,238.5756,28.59961,8,73.5,False
21,67705.9453125,12551.892779541,238.4112,28.59937,8,73.5,False
22,67717.0078125,15538.9234619141,238.4491,28.58337,8,73.5,False
23,67706.5078125,16069.8664550781,238.4108,28.61353,8,73.5,False
24,67747.703125,14802.5362792969,238.5477,28.5813,8,73.5,False
25,67753.1796875,12702.3950683594,238.5617,28.60449,8,73.5,False
26,67721.796875,11751.03359375,238.4623,28.59741,8,73.5,False
27,67718.2890625,4311.00288085938,238.4521,28.59009,8,73.5,False
28,67771.2109375,22029.0025146484,240.1525,29.52258,8,77,False
29,67735.078125,25768.8881835938,238.5052,28.59485,8,73.5,False
30,67744.5390625,7700.58330078125,238.5382,28.57703,8,73.5,False
